id,iata_code,name,latitude_deg,longitude_deg,continent,iso_country,iso_region
7300,TTW,Tissa Tank Waterdrome,6.2876,81.2906,AS,LK,LK-3
7301,TUE,Tupile Airport,9.4468,-78.5757,NA,PA,PA-KY
7302,TUJ,Tum Airport,6.26,35.5184,AF,ET,ET-SN
7303,NGD,Captain Auguste George Airport,18.72719955,-64.32969666,NA,VG,VG-U-A
7304,EIS,Terrance B. Lettsome International Airport,18.44479942,-64.54299927,NA,VG,VG-U-A
7305,VIJ,Virgin Gorda Airport,18.44639969,-64.42749786,NA,VG,VG-U-A
7306,TUT,Tauta Airport,-5.8335,145.9341,OC,PG,PG-MPM
7307,BR-,Tucuma Airport,-3.967000008,-66.43299866,SA,BR,BR-AM
7308,SVD,Argyle International Airport,13.156695,-61.149945,NA,VC,VC-U-A
7309,BQU,J F Mitchell Airport,12.98840046,-61.26200104,NA,VC,VC-06
7310,CIW,Canouan Airport,12.699,-61.3424,NA,VC,VC-06
7311,MQS,Mustique Airport,12.88790035,-61.18019867,NA,VC,VC-06
7312,UNI,Union Island International Airport,12.60013485,-61.41194534,NA,VC,VC-06
7313,SVD,E. T. Joshua Airport,13.1443,-61.210899,NA,VC,VC-04
7314,DSX,Dongsha Island (Pratas Island) Airport,20.7066,116.721001,AS,TW,TW-KHH
7315,CMJ,Qimei Airport,23.2131,119.417999,AS,TW,TW-PEN
7316,TWC,Tumxuk Tangwangcheng Airport,39.88058,78.989889,AS,CN,CN-65
7317,TWH,Two Harbors Amphibious Terminal,33.43222222,-118.5086111,NA,US,US-CA
7318,BDA,L.F. Wade International International Airport,32.36399841,-64.67870331,NA,BM,BM-U-A
7319,TYE,Tyonek Airport,61.076556,-151.131363,NA,US,US-AK
7320,GIT,Mchauru Airport,-2.813667,32.172472,AF,TZ,TZ-18
7321,LUY,Lushoto Airport,-4.783259869,38.30419922,AF,TZ,TZ-25
7322,TZO,Tsimiroro Airport,-18.345064,45.015643,AF,MG,MG-U
7323,DBS,Dubois Municipal Airport,44.16659927,-112.2259979,NA,US,US-ID
7324,MXR,Myrhorod Air Base,49.932,33.641,EU,UA,UA-53
7325,KHU,Kakhnovka Airfield,49.1342,33.4766,EU,UA,UA-53
7326,ALA,Almaty Airport,43.35210037,77.04049683,AS,KZ,KZ-ALM
